,RUN_DATE,MODEL,ACCURACY,F1 SCORE MICRO AVG,PRECISION SCORE MICRO AVG,RECALL SCORE MICRO AVG,ROCAUC MICRO AVG
0,2021-06-13 15:14:42.892669,log_reg,0.9220904470220253,0.9212405470211589,0.9114181438998957,0.9312769697938309,0.9782305975813677
0,2021-06-13 15:14:42.892669,sgd,0.909605108823146,0.9064220183486239,0.87570385818561,0.9393736017897092,0.9727369884851493
0,2021-06-13 15:14:42.892669,dt,0.9243320735044963,0.9235831424886152,0.9146506777893639,0.9326917964804083,0.9687349956504405
0,2021-06-13 15:14:42.892669,mlp,0.9541769842304183,0.9541494966355433,0.9537017726798749,0.9545976411648054,0.9904487805063642
0,2021-06-13 15:14:42.892669,xgb_model,0.9547764889873582,0.9544774748773385,0.9483315954118874,0.9607035335129139,0.992195992154759
0,2021-06-13 15:14:42.892669,random_forest,0.9434640948781441,0.94275081162404,0.931126173096976,0.9546693751002299,0.988036594456642
0,2021-06-13 15:14:42.892669,extra_trees,0.9358529910074287,0.9346261123655198,0.9172054223149113,0.9527213647441105,0.9853180015778532
