,RUN_DATE,MODEL,ACCURACY,F1 SCORE MICRO AVG,PRECISION SCORE MICRO AVG,RECALL SCORE MICRO AVG,ROCAUC MICRO AVG
0,2021-06-13 23:57:04.725524,log_reg,0.8451834862385321,0.8392683190821518,0.8040232268768146,0.8777450758433326,0.9108321442514957
0,2021-06-13 23:57:04.725524,sgd,0.8464345287739783,0.8421391062051228,0.8148071339693074,0.8713683743623863,0.9103024702468682
0,2021-06-13 23:57:04.725524,dt,0.9000208507089241,0.900260010400416,0.8975528826213189,0.9029835176298769,0.9649606059578434
0,2021-06-13 23:57:04.725524,mlp,0.9092994161801501,0.9102352455633512,0.914765657403567,0.9057494866529774,0.9716927438617726
0,2021-06-13 23:57:04.725524,xgb_model,0.9138865721434529,0.9144218814753419,0.9151804230609706,0.9136645962732919,0.9758750729318019
0,2021-06-13 23:57:04.725524,random_forest,0.906067556296914,0.9062532514826761,0.9031522189962671,0.9093756525370641,0.9695402448769485
0,2021-06-13 23:57:04.725524,extra_trees,0.8789616346955796,0.87616,0.8517212774782248,0.9020426092686141,0.9555842500349985
0,2021-06-13 23:57:04.725524,knn,0.9010633861551293,0.9008255826105132,0.8938199917046868,0.9079418580155888,0.9480779698568841
